Year	tree ring data
2688	189.26
2689	236.86
2690	224.75
2691	183.27
2692	174.8
2693	189.33
2694	235.48
2695	238.79
2696	234.89
2697	216.26
2698	219.29
2699	179.11
2700	217.95
2701	5215.9
2702	250.91
2703	262.28
2704	252.65
2705	283.87
2706	267.51
2707	247.18
2708	192.47
2709	192.75
2710	220.43
2711	205.84
2712	206.55
2713	227.29
2714	228.78
2715	209.41
2716	167.92
2717	204.88
2718	245.08
2719	264.68
2720	248.99
2721	219.53
2722	200.24
2723	197.41
2724	210.36
2725	225.5
2726	279.52
2727	1283.7
2728	307.85
2729	298.84
2730	255.34
2731	210.36
2732	192.73
2733	191.7
2734	196.02
2735	197.58
2736	186.26
2737	206.46
2738	205.72
2739	200.04
2740	199.24
2741	208.6
2742	222.09
2743	212.48
2744	216.68
2745	205.27
2746	220.7
2747	203.53
2748	246.49
2749	319.28
2750	400.44
2751	393.23
2752	301.81
2753	164.34
2754	121.62
2755	155.29
2756	167.75
2757	177.26
2758	159.59
2759	198.81
2760	212.34
2761	261.53
2762	276.77
2763	301.32
2764	259.31
2765	209.71
2766	163.11
2767	1161.2
2768	228.96
2769	305.49
2770	275.99
2771	234.63
2772	192.17
2773	219.67
2774	239.28
2775	264.46
2776	231.37
2777	199.41
2778	196.2
2779	216.21
2780	252.93
2781	231.13
2782	220.91
2783	218.38
2784	256.06
2785	255.11
2786	237.89
2787	228
2788	274.25
2789	253.75
2790	258.51
2791	238.01
2792	255.77
2793	222.27
2794	197.55
2795	163.98
2796	178.47
2797	169
2798	132.25
2799	151.59
2800	177.27
2801	218.47
2802	265.55
2803	289.79
2804	284.52
2805	253.55
2806	189
2807	208.27
2808	184.22
2809	179.16
2810	203.65
2811	231.34
2812	253.77
2813	259.28
2814	238.48
2815	222.29
2816	232.74
2817	239.53
2818	227.78
2819	243.45
2820	237.33
2821	246.49
2822	209.87
2823	251.34
2824	225.05
2825	221
2826	174.63
2827	166.11
2828	162.32
2829	185.74
2830	165.45
2831	168.41
2832	218.08
2833	249.38
2834	237.98
2835	207.76
2836	216.73
2837	269.76
2838	212.42
2839	258.18
2840	205
2841	327.21
2842	313.19
2843	303
2844	206.73
2845	169.22
2846	183.84
2847	261.15
2848	268.66
2849	274.91
2850	285.37
2851	264.51
2852	238.79
2853	230.33
2854	246.95
2855	305.29
2856	264.03
2857	204.38
2858	211.51
2859	159.66
2860	158.54
2861	127.85
2862	219.17
2863	242.91
2864	254.27
2865	257.42
2866	242
2867	280.11
2868	228.47
2869	203.41
2870	143.44
2871	212.84
2872	198.68
2873	156.37
2874	153.54
2875	163.72
2876	253.5
2877	279.85
2878	269.33
2879	259.08
2880	224
2881	183.51
2882	163.78
2883	185.33
2884	192.72
2885	190.59
2886	165.82
2887	212.92
2888	195.12
2889	169.92
2890	73
2891	81
2892	95
2893	161.87
2894	210.04
2895	216.48
2896	244.15
2897	256
2898	254
2899	239.92
2900	252.63
2901	273.45
2902	292.16
2903	288.73
2904	342.62
2905	298.79
2906	158
2907	314.81
2908	297.92
2909	299.81
2910	266.34
2911	275.95
2912	240.74
2913	217.98
2914	116.53
2915	108.74
2916	119.09
2917	156.45
2918	160.02
2919	1192.8
2920	191.98
2921	205.08
2922	674257
2923	260.07
2924	278.51
2925	253.02
